,apx,apx-na,knapsack,MR,GeRt,GLp,GSw,BIN,intersection,n_points,apx_reward,apx_cost,apx-na_reward,apx-na_cost,knapsack_reward,knapsack_cost,MR_reward,MR_cost,GLp_reward,GLp_cost,GSw_reward,GSw_cost,GeRt_reward,GeRt_cost,BIN_reward,BIN_cost,#BIN
130,1.0,0.8735,1.0,0.9421,0.3935,0.9032,0.3911,0.783,3.1961,50,10078,24462,8803,15279,10078,23917,9494,24331,9102,23292,3942,19509,3966,23663,7891,23304,83
131,0.9275,0.9275,1.0,0.9287,0.2273,0.9619,0.4822,0.7309,3.3529,50,12378,23621,12378,21191,13346,24299,12394,23568,12837,23556,6436,18302,3033,23397,9754,20532,71
132,0.9794,0.9681,1.0,1.0,0.1928,0.9239,0.6885,0.7515,3.549,50,6933,23935,6853,19527,7079,24183,7079,24219,6540,22633,4874,18817,1365,22969,5320,21682,74
133,0.9522,0.9138,1.0,0.9297,0.2147,1.0,0.4873,0.7026,3.2353,50,8600,24022,8253,20044,9032,23852,8397,23893,9032,23252,4401,20367,1939,22660,6346,23203,79
134,1.0,0.8787,1.0,0.945,0.3866,0.8995,0.4015,0.691,2.6863,50,7659,24395,6730,15357,7659,23531,7238,24149,6889,22584,3075,19209,2961,23582,5292,23407,83
135,1.0,0.9423,1.0,0.9399,0.2773,1.0,0.1879,0.7566,2.9216,50,4576,23793,4312,17557,4576,24321,4301,24128,4576,23485,860,18775,1269,24259,3462,22893,93
136,1.0,0.8901,1.0,0.9516,0.4908,1.0,0.4053,0.7155,2.6863,50,5149,24275,4583,15858,5149,23730,4900,24440,5149,24319,2087,20163,2527,24120,3684,23285,95
137,0.9903,0.9611,1.0,1.0,0.1794,0.9903,0.6263,0.892,2.1765,50,2136,23990,2073,18389,2157,24661,2157,24623,2136,24346,1351,19920,387,24247,1924,23834,92
138,0.9369,0.9369,1.0,1.0,0.1261,0.9941,0.6681,0.925,2.1765,50,1575,24087,1575,16925,1681,24072,1681,24610,1671,23949,1123,20159,212,24228,1555,23835,90
139,0.9066,0.8728,1.0,1.0,0.1229,0.988,0.5975,0.9542,2.2941,50,2338,24568,2251,18329,2579,24604,2579,24509,2548,24139,1541,20129,317,23732,2461,20697,99
140,1.0,0.8911,1.0,0.952,0.4897,1.0,0.4058,0.7177,2.6863,50,5005,24302,4460,15900,5005,23759,4765,24409,5005,24346,2031,20131,2451,24091,3592,23269,95
