,apx,apx-na,knapsack,MR,GeRt,GLp,GSw,BIN,intersection,n_points,apx_reward,apx_cost,apx-na_reward,apx-na_cost,knapsack_reward,knapsack_cost,MR_reward,MR_cost,GLp_reward,GLp_cost,GSw_reward,GSw_cost,GeRt_reward,GeRt_cost,BIN_reward,BIN_cost,#BIN
23,1.0,0.9533,1.0,0.6485,0.0467,1.0,0.0986,0.9533,47.7895,75,6782,4871,6465,1761,6782,4833,4398,956,6782,4871,669,4386,317,4943,6465,4816,6
24,0.9093,0.8459,1.0,0.5819,0.0018,0.9751,0.1706,0.8269,35.8158,75,4461,4784,4150,3807,4906,4893,2855,1571,4784,4770,837,4910,9,4822,4057,2743,10
25,0.9221,0.8588,1.0,0.592,0.0004,0.9897,0.1672,0.842,35.8158,75,4120,4901,3837,3927,4468,4832,2645,1665,4422,4887,747,4858,2,4708,3762,2860,10
26,0.928,0.8667,1.0,0.6032,0.0,0.9979,0.1583,0.8554,33.7632,75,3529,4972,3296,4172,3803,4983,2294,1835,3795,4958,602,4787,0,4525,3253,3092,12
27,1.0,0.9169,1.0,0.6517,0.0027,1.0,0.0582,1.0,29.1316,75,2610,4979,2393,3569,2610,4979,1701,4313,2610,4979,152,4658,7,4860,2610,4812,14
28,0.9909,0.9557,1.0,0.6825,0.0087,1.0,0.0398,0.9557,31.2368,75,2840,4794,2739,3364,2866,4959,1956,2016,2866,4959,114,4795,25,4944,2739,3364,13
29,1.0,1.0,1.0,0.7152,0.0,1.0,0.0,1.0,25.8684,75,1956,4755,1956,3852,1956,4971,1399,4460,1956,4755,0,4703,0,4897,1956,3852,19
30,1.0,0.9462,1.0,0.5981,0.0045,1.0,0.0583,0.9462,23.6053,75,1784,4839,1688,4053,1784,4839,1067,2669,1784,4839,104,4566,8,4993,1688,4053,18
31,1.0,1.0,1.0,0.7194,0.0,1.0,0.0,1.0,21.5263,75,1561,4859,1561,4131,1561,4999,1123,4619,1561,4859,0,4623,0,4977,1561,4131,24
32,1.0,0.9592,1.0,0.6884,0.0,1.0,0.0408,0.9592,27.4737,75,1765,4909,1693,4036,1765,4909,1215,4564,1765,4909,72,4576,0,4985,1693,4036,16
33,1.0,0.9365,1.0,0.7049,0.0,1.0,0.0635,0.9365,35.5,75,2850,4973,2669,3394,2850,4950,2009,4106,2850,4973,181,4692,0,4926,2669,3394,13
34,0.915,0.9015,1.0,0.6292,0.0,1.0,0.1624,1.0,33.5789,75,3252,4948,3204,4219,3554,4694,2236,1866,3554,4694,577,4779,0,4497,3554,4519,11
35,1.0,0.9566,1.0,0.7796,0.0,1.0,0.0434,0.9566,33.3158,75,2119,4891,2027,3851,2119,4891,1652,4277,2119,4891,92,4652,0,4941,2027,3851,14
36,1.0,0.9333,1.0,0.6665,0.0,1.0,0.0485,0.9333,29.0789,75,2144,4986,2001,3822,2144,4986,1429,4444,2144,4986,104,4607,0,4908,2001,3822,14
37,1.0,0.9224,1.0,0.6523,0.0005,1.0,0.0781,0.9224,38.8158,75,3816,4564,3520,2846,3816,4793,2489,1655,3816,4564,298,4790,2,4525,3520,4746,10
38,0.9921,0.8782,1.0,0.577,0.0311,1.0,0.1547,0.8782,40.1579,75,7581,4212,6710,1783,7641,4686,4409,1119,7641,4686,1182,4577,238,4985,6710,3390,10
39,1.0,0.8531,1.0,0.551,0.0481,1.0,0.7041,0.8531,48.3158,75,9859,4246,8411,1138,9859,4246,5432,783,9859,4246,6942,4323,474,4886,8411,3015,7
40,0.9487,0.9201,1.0,0.6018,0.0315,1.0,0.1172,0.7901,43.6053,75,9563,4667,9275,1888,10080,4944,6066,1200,10080,4944,1181,3945,318,4930,7964,2973,11
41,0.9486,0.92,1.0,0.6019,0.0316,1.0,0.1173,0.7903,43.6053,75,9468,4627,9183,1874,9981,4901,6008,1189,9981,4901,1171,3907,315,4884,7888,2945,11
42,0.9487,0.9205,1.0,0.6036,0.031,1.0,0.1172,0.7929,43.6053,75,8700,4356,8441,1801,9170,4615,5535,1131,9170,4615,1075,3629,284,4532,7271,2765,10
43,0.9488,0.9203,1.0,0.6026,0.0313,1.0,0.1174,0.7916,43.6053,75,9132,4497,8858,1834,9625,4765,5800,1159,9625,4765,1130,3779,301,4725,7619,2857,10
44,1.0,0.9206,1.0,0.6074,0.0489,1.0,0.1159,0.7955,43.5789,75,8103,4382,7460,1814,8103,4382,4922,1114,8103,4382,939,4800,396,4869,6446,4394,9
45,0.9488,0.9203,1.0,0.6027,0.0312,1.0,0.1174,0.7919,43.6053,75,9037,4462,8766,1824,9525,4728,5741,1152,9525,4728,1118,3745,297,4681,7543,2834,10
46,1.0,0.8555,1.0,0.5547,0.053,1.0,0.7014,0.8555,48.3158,75,8951,4200,7658,1241,8951,4200,4965,827,8951,4200,6278,4235,474,4961,7658,1241,7
47,1.0,0.9199,1.0,0.6191,0.0264,1.0,0.1098,0.7986,40.6842,75,6451,4342,5934,2075,6451,4342,3994,1219,6451,4342,708,4260,170,4981,5152,2705,11
48,1.0,0.92,1.0,0.6159,0.02,1.0,0.1113,0.798,42.4474,75,6766,4319,6225,2003,6766,4319,4167,1188,6766,4319,753,4347,135,4947,5399,2670,10
49,1.0,0.8632,1.0,0.5668,0.0516,1.0,0.0951,0.8632,45.5789,75,7287,4353,6290,1572,7287,4353,4130,987,7287,4353,693,4148,376,4663,6290,4297,7
50,1.0,0.9196,1.0,0.6215,0.0258,1.0,0.1086,0.7992,40.6842,75,6241,4365,5739,2130,6241,4365,3879,1242,6241,4365,678,4207,161,4904,4988,2733,11
51,1.0,0.9191,1.0,0.6263,0.0245,1.0,0.1058,0.8003,40.2105,75,5869,4420,5394,2237,5869,4420,3676,1291,5869,4420,621,4118,144,4772,4697,2795,11
52,1.0,0.9189,1.0,0.6396,0.0014,1.0,0.0825,0.9189,38.2632,75,4193,4363,3853,2651,4193,4597,2682,1551,4193,4363,346,4839,6,4609,3853,4588,10
53,1.0,0.9201,1.0,0.6143,0.0277,1.0,0.1123,0.7974,42.0263,75,6974,4312,6417,1961,6974,4312,4284,1169,6974,4312,783,4408,193,4960,5561,2654,10
54,1.0,0.9201,1.0,0.6146,0.0274,1.0,0.112,0.7976,42.0,75,6922,4313,6369,1971,6922,4313,4254,1174,6922,4313,775,4394,190,4941,5521,2657,10
55,1.0,0.9201,1.0,0.6146,0.0274,1.0,0.112,0.7976,42.0,75,6922,4313,6369,1971,6922,4313,4254,1174,6922,4313,775,4394,190,4941,5521,2657,10
56,1.0,0.8521,1.0,0.5494,0.1536,1.0,0.7053,0.8521,48.3158,75,10460,4327,8913,1100,10460,4327,5747,771,10460,4327,7377,4430,1607,4658,8913,4870,7
57,0.9487,0.9201,1.0,0.6021,0.0315,1.0,0.1173,0.7907,43.6053,75,9372,4588,9090,1861,9879,4860,5948,1180,9879,4860,1159,3870,311,4838,7811,2918,11
58,0.9488,0.9204,1.0,0.603,0.031,1.0,0.1174,0.7923,43.6053,75,8893,4414,8627,1813,9373,4678,5652,1142,9373,4678,1100,3693,291,4616,7426,2803,10
59,0.9487,0.9206,1.0,0.6053,0.0303,1.0,0.1168,0.7944,43.6053,75,8170,4222,7928,1793,8612,4473,5213,1114,8612,4473,1006,3459,261,4310,6841,4520,9
60,0.9487,0.9204,1.0,0.6034,0.0309,1.0,0.1171,0.7928,43.6053,75,8748,4370,8487,1804,9221,4630,5564,1134,9221,4630,1080,3645,285,4553,7310,2774,10
61,1.0,0.9206,1.0,0.6091,0.0568,1.0,0.1153,0.7959,43.9474,75,7797,4345,7178,1840,7797,4345,4749,1121,7797,4345,899,4684,443,4903,6206,4336,9
62,1.0,0.9204,1.0,0.6124,0.0205,1.0,0.1134,0.797,42.9474,75,7232,4312,6656,1915,7232,4312,4429,1150,7232,4312,820,4489,148,4907,5764,2639,9
63,1.0,0.8598,1.0,0.5613,0.0521,1.0,0.6962,0.8598,46.0263,75,7909,4259,6800,1426,7909,4259,4439,915,7909,4259,5506,4238,412,4848,6800,4270,7
64,1.0,0.9196,1.0,0.6215,0.0258,1.0,0.1086,0.7992,40.6842,75,6241,4365,5739,2130,6241,4365,3879,1242,6241,4365,678,4207,161,4904,4988,2733,11
65,1.0,0.9204,1.0,0.6112,0.0206,1.0,0.114,0.7965,42.9737,75,7387,4316,6799,1891,7387,4316,4515,1141,7387,4316,842,4540,152,4972,5884,2634,9
66,1.0,0.8646,1.0,0.5691,0.051,1.0,0.0938,0.8646,44.0526,75,7037,4400,6084,1639,7037,4400,4005,1021,7037,4400,660,4098,359,4594,6084,1639,8
67,1.0,0.919,1.0,0.6281,0.0,1.0,0.1052,0.8008,40.2105,75,5762,4440,5295,2271,5762,4440,3619,1306,5762,4440,606,4095,0,4963,4614,2815,11
68,1.0,0.8582,1.0,0.5591,0.0526,1.0,0.6981,0.8582,46.0263,75,8217,4229,7052,1364,8217,4229,4594,884,8217,4229,5736,4226,432,4947,7052,4271,7
69,1.0,0.9205,1.0,0.6098,0.0565,1.0,0.1149,0.796,42.9737,75,7644,4331,7036,1857,7644,4331,4661,1128,7644,4331,878,4629,432,4842,6085,2631,10
70,1.0,0.9201,1.0,0.6154,0.0201,1.0,0.1115,0.7977,42.0,75,6818,4317,6273,1992,6818,4317,4196,1183,6818,4317,760,4363,137,4968,5439,2666,10
71,1.0,0.8535,1.0,0.5514,0.048,1.0,0.7038,0.8535,48.3158,75,9739,4234,8312,1148,9739,4234,5370,787,9739,4234,6854,4307,467,4843,8312,3007,7
72,1.0,0.8521,1.0,0.5491,0.1536,1.0,0.7052,0.8521,48.3158,75,10520,4338,8964,1097,10520,4338,5777,771,10520,4338,7419,4443,1616,4679,8964,4885,7
73,0.9891,0.9593,1.0,0.6269,0.0332,1.0,0.1216,0.821,43.6053,75,10183,4965,9876,2007,10295,4109,6454,1280,10295,4109,1252,4206,342,4923,8452,3186,12
74,1.0,0.9518,1.0,0.6373,0.0482,1.0,0.1902,0.9518,48.8684,75,8098,4979,7708,1531,8098,4933,5161,852,8098,4979,1540,4949,390,4799,7708,3348,7
75,1.0,0.8956,1.0,0.5757,0.0589,1.0,0.7436,0.8956,48.3158,75,12894,3918,11548,1279,12894,4641,7423,926,12894,3918,9588,3988,759,4899,11548,4806,9
76,1.0,0.8504,1.0,0.5466,0.0556,1.0,0.7067,0.8504,48.3158,75,12797,4691,10883,1174,12797,4691,6995,853,12797,4691,9044,3699,711,4929,10883,4484,8
77,1.0,0.9706,1.0,0.6364,0.0,1.0,0.1185,0.8168,42.5789,75,12350,4682,11987,2836,12350,4682,7859,1788,12350,4682,1464,3487,0,4803,10088,4383,17
78,1.0,1.0,1.0,0.6621,0.0356,1.0,0.1162,1.0,38.9737,75,13861,4706,13861,4210,13861,4706,9177,2584,13861,4706,1611,4430,494,4910,13861,4210,13
79,1.0,1.0,1.0,0.6614,0.0361,1.0,0.1169,1.0,38.4737,75,13686,4539,13686,4052,13686,4539,9052,2493,13686,4539,1600,4330,494,4811,13686,4052,14
80,0.9899,0.9606,1.0,0.6295,0.0085,1.0,0.1179,0.8098,42.5789,75,12165,4545,11805,2737,12289,4934,7736,1729,12289,4934,1449,3408,105,4967,9952,4250,17
81,1.0,0.8504,1.0,0.5466,0.05,1.0,0.7066,0.8504,48.3158,75,13098,4815,11139,1209,13098,4815,7159,878,13098,4815,9255,3803,655,4815,11139,4811,9
82,1.0,0.9506,1.0,0.6311,0.1538,1.0,0.1983,0.9506,48.8684,75,9653,4388,9176,1476,9653,4388,6092,840,9653,4388,1914,3753,1485,4915,9176,3493,8
83,1.0,0.9504,1.0,0.6305,0.2484,1.0,0.1987,0.9504,48.8684,75,9912,4468,9420,1489,9912,4468,6250,850,9912,4468,1970,3835,2462,4948,9420,4665,8
84,1.0,0.8505,1.0,0.5466,0.0502,1.0,0.7064,0.8505,48.3158,75,13337,4922,11343,1242,13337,4922,7290,901,13337,4922,9421,3893,669,4908,11343,4915,9
85,1.0,0.8506,1.0,0.5469,0.1494,1.0,0.7065,0.8506,48.3158,75,11841,4661,10072,1100,11841,4661,6476,795,11841,4661,8366,4813,1769,4947,10072,4353,8
86,1.0,0.8506,1.0,0.5469,0.0551,1.0,0.7068,0.8506,48.3158,75,12079,4741,10274,1113,12079,4741,6606,806,12079,4741,8537,4900,665,4657,10274,4236,8
87,1.0,0.9407,1.0,0.627,0.0,1.0,0.1661,0.9407,47.3684,75,5333,4931,5017,2064,5333,4900,3344,1264,5333,4931,886,3916,0,4974,5017,2064,6
88,1.0,0.8605,1.0,1.0,0.0401,1.0,0.1431,0.8605,44.2105,75,7360,4573,6333,1378,7360,4573,7360,4573,7360,4573,1053,3371,295,4890,6333,3711,6
89,1.0,0.8601,1.0,1.0,0.0323,1.0,0.1762,0.8601,39.2105,75,7992,4600,6874,1259,7992,4600,7992,4600,7992,4600,1408,4176,258,4916,6874,1259,7
90,1.0,0.8597,1.0,1.0,0.1962,1.0,0.1537,0.8597,44.2105,75,9213,4791,7920,1120,9213,4791,9213,4791,9213,4791,1416,3778,1808,4600,7920,4548,6
91,1.0,0.7884,1.0,1.0,0.0826,1.0,0.1295,1.0,48.6579,75,10479,4976,8262,862,10479,3521,10479,4976,10479,4976,1357,3803,866,4991,10479,4976,6
92,1.0,0.8599,1.0,1.0,0.1937,1.0,0.1516,0.8599,44.2105,75,8678,4687,7462,1167,8678,4687,8678,4687,8678,4687,1316,3641,1681,4434,7462,4007,6
93,1.0,0.8597,1.0,1.0,0.1946,1.0,0.1523,0.8597,44.2105,75,8840,4713,7600,1150,8840,4713,8840,4713,8840,4713,1346,3679,1720,4480,7600,3388,6
94,1.0,0.8602,1.0,1.0,0.0411,1.0,0.1474,0.8602,44.2105,75,7885,4592,6783,1277,7885,4592,7885,4592,7885,4592,1162,3464,324,4861,6783,3719,6
95,1.0,0.86,1.0,1.0,0.068,1.0,0.1506,0.86,44.2105,75,8466,4654,7281,1191,8466,4654,8466,4654,8466,4654,1275,3590,576,4949,7281,3761,6
96,1.0,0.8597,1.0,1.0,0.197,1.0,0.1542,0.8597,43.8947,75,9427,4842,8104,1107,9427,4842,9427,4842,9427,4842,1454,3837,1857,4672,8104,4600,6
97,1.0,0.8599,1.0,1.0,0.0676,1.0,0.1498,0.8599,44.2105,75,8309,4632,7145,1212,8309,4632,8309,4632,8309,4632,1245,3554,562,4888,7145,3746,6
98,1.0,0.7873,1.0,1.0,0.0171,1.0,0.1225,0.7873,48.9474,75,8759,4821,6896,1119,8759,3542,8759,4821,8759,4821,1073,3466,150,4927,6896,4494,6
