,apx,apx-na,knapsack,MR,GeRt,GLp,GSw,BIN,BIN_naive,intersection,n_points,apx_reward,apx_cost,apx-na_reward,apx-na_cost,knapsack_reward,knapsack_cost,MR_reward,MR_cost,GLp_reward,GLp_cost,GSw_reward,GSw_cost,GeRt_reward,GeRt_cost,BIN_reward,BIN_cost,BIN_naive_reward,BIN_naive_cost,#BIN
19,0.9061,0.7565,0.9945,0.5457,0.0969,0.6698,0.1923,0.6739,0.0776,29.2895,75,14084,48871,11759,30422,15459,41218,8482,9063,10411,13669,2989,43640,1506,46457,10475,22276,1206,9202,25
20,0.9705,0.8839,1.0,0.6112,0.1969,0.7249,0.2809,0.6526,0.1278,35.7105,75,21085,43508,19204,26912,21727,48048,13279,10636,15749,20308,6103,42843,4278,47590,14179,36475,2777,7580,26
21,0.945,0.8847,0.9935,0.6585,0.0173,0.7853,0.1067,0.6172,0.0479,36.2368,75,27323,44524,25581,30998,28727,48686,19040,13561,22707,26559,3085,40859,501,47565,17846,28194,1384,8487,35
22,0.9899,0.9428,1.0,0.7582,0.0258,0.9428,0.1299,0.906,0.0367,39.8158,75,22065,33849,21016,16376,22291,34699,16901,12639,21016,16376,2895,41744,576,48361,20196,33044,817,7661,31
23,0.9098,0.8226,1.0,0.6116,0.1123,0.7289,0.233,0.6549,0.1027,35.8421,75,22487,42229,20332,25500,24717,48586,15116,11331,18015,21876,5760,41877,2775,48540,16186,35816,2539,11174,28
24,0.899,0.7592,0.9943,0.5386,0.0963,0.6639,0.2006,0.6369,0.1281,29.2895,75,15582,48717,13159,31123,17234,49238,9335,9099,11507,14926,3477,44760,1669,47861,11040,15756,2221,6296,30
25,0.9143,0.7572,0.9945,0.5448,0.0974,0.6691,0.1929,0.6738,0.0777,29.2895,75,14410,49181,11934,30499,15674,41342,8587,9066,10545,13680,3041,43869,1535,46717,10620,22327,1225,9246,25
26,0.8943,0.7493,0.9941,0.5579,0.1081,0.6804,0.2133,0.6431,0.0332,27.4737,75,11754,48536,9848,26773,13066,41618,7332,9111,8942,13641,2803,45376,1421,48587,8452,17563,436,7417,30
27,0.9117,0.7499,0.996,0.6023,0.0643,0.7187,0.1557,0.6547,0.03,25.5,75,8049,43009,6621,21785,8794,42453,5318,10645,6345,15169,1375,44084,568,48674,5780,17978,265,6264,30
28,0.9901,0.8669,1.0,0.7187,0.0369,0.8669,0.083,0.8293,0.0,26.8158,75,8420,34275,7372,13794,8504,42115,6112,9972,7372,14478,706,44193,314,48895,7052,24603,0,7379,30
