,seed,num_deliveries,max_len_road,max_interval_len,max_profit,max_weight,drone_battery,drone_load,height,distance,algorithm,solution_space,iterations,energy_unit_cost,energy_per_delivery,total_profit_avg,total_profit_std,total_energy_avg,total_energy_std,total_flights_avg,total_flights_std
315,5,10,100,2,10,1,5000,10,0.5,1,8,1,33,50,0,53.2121,10.301,1490.98,148.048,9.27273,0.883883
316,30,40,100,2,10,5,5000,5,0.5,1,2,1,33,50,0,188.394,16.3992,4698.94,301.217,24.9697,2.63391
317,18,30,100,2,10,5,2500,5,0.5,1,3,1,33,50,0,110.818,13.9585,2435.36,56.6287,14.9697,1.83712
318,33,50,100,2,10,1,2500,10,0.5,1,2,1,33,50,0,219.818,12.7634,2494.03,6.31212,8.66667,1.65831
319,23,30,100,2,10,5,5000,10,0.5,1,3,1,33,50,0,154.727,16.9987,4112.74,506.956,21.3636,5.08675
320,12,20,100,2,10,1,5000,5,0.5,1,8,1,33,50,0,99.8788,11.1264,2700.32,187.803,17.1212,1.14564
321,21,30,100,2,10,1,5000,10,0.5,1,0,1,33,50,0,171.636,17.6278,4339.88,366.571,10.7879,2.54951
322,36,50,100,2,10,1,5000,5,0.5,1,8,1,33,50,0,202.212,15.8247,4913.86,117.548,31.303,1.0
323,10,20,100,2,10,5,2500,5,0.5,1,3,1,33,50,0,88.5455,15.9474,2389.89,91.9615,14.9394,1.21192
324,39,50,100,2,10,5,5000,10,0.5,1,3,1,33,50,0,230.576,21.7716,4919.99,90.2479,26.9697,3.75832
325,9,20,100,2,10,1,2500,10,0.5,1,3,1,33,50,0,98.3333,11.0076,2414.22,73.1268,14.1212,2.5
326,13,20,100,2,10,1,5000,10,0.5,1,6,1,33,50,0,113.182,12.1744,2523.75,202.593,14.5455,1.58114
327,75,100,100,2,10,5,2500,10,0.5,1,6,1,33,50,0,274.303,15.7212,2442.18,39.3549,12.4545,1.07529
328,6,10,100,2,10,5,5000,5,0.5,1,6,1,33,50,0,53.3939,10.3045,1460.07,125.69,9.0,0.75
329,4,10,100,2,10,1,5000,5,0.5,1,3,1,33,50,0,56.1212,7.57363,1915.87,746.161,7.81818,2.72144
330,13,20,100,2,10,1,5000,10,0.5,1,2,1,33,50,0,114.667,12.4063,4154.15,488.317,5.36364,1.62019
331,63,80,100,2,10,5,5000,10,0.5,1,6,1,33,50,0,381.727,22.3904,4945.62,42.3501,25.2727,1.23744
332,35,50,100,2,10,5,2500,10,0.5,1,6,1,33,50,0,194.03,16.8828,2449.21,38.5865,12.6667,1.11803
333,72,100,100,2,10,1,2500,5,0.5,1,2,1,33,50,0,317.636,19.0145,2495.0,5.04975,10.5758,0.883883
334,64,90,100,2,10,1,2500,5,0.5,1,8,1,33,50,0,151.545,5.20271,2486.03,15.8138,16.5152,0.728869
335,70,90,100,2,10,5,5000,5,0.5,1,3,1,33,50,0,275.333,14.2339,4940.25,44.1877,29.2727,1.8456
